year,MAG,"[-1, 1]","[0.0008, 1]","[0.1, 1]"
1950,72330,20628,12296,3986
1951,76208,22886,13618,4243
1952,80431,24932,14336,4468
1953,86320,29228,17258,5675
1954,90949,29417,16671,4950
1955,96418,32438,18123,5146
1956,100574,34240,19014,5382
1957,106300,36836,20025,5440
1958,113095,41701,22933,6609
1959,122337,45226,24081,6354
1960,138086,50367,26866,6949
1961,141840,54486,28457,7159
1962,152681,61120,31318,7628
1963,165921,67608,34156,8113
1964,183060,75964,37562,8755
1965,201384,85269,41254,9475
1966,217349,93932,44574,10072
1967,237111,105274,48690,10665
1968,255110,113917,51456,11099
1969,276084,122501,54131,11552
1970,306757,133361,58275,12264
1971,307506,144383,61306,12320
1972,326736,156823,65330,12797
1973,342704,167187,67818,13171
1974,354064,173332,68715,13494
1975,373252,182755,73578,13968
1976,390681,193463,76039,14317
1977,411626,206890,79476,15000
1978,434092,220570,82618,14939
1979,453018,232476,86265,15751
1980,496374,251031,93792,16600
1981,502225,265351,96440,16803
1982,520172,274380,98596,16916
1983,552323,292635,104617,17886
1984,589637,310244,108751,18255
1985,614064,323907,111711,18213
1986,648638,342246,117111,19105
1987,686091,361273,120905,19514
1988,726296,392315,131696,20993
1989,771362,416506,136731,21600
1990,839790,444900,148526,23051
1991,860513,470368,153619,23350
1992,898409,492746,156792,24024
1993,947110,502574,160529,24407
1994,990318,527240,166943,25003
1995,1035056,569082,180343,27226
1996,1090238,605416,192188,29556
1997,1132941,657467,205485,30778
1998,1192724,708496,215109,31669
1999,1234665,759083,224778,32376
2000,1333671,824935,250103,35528
2001,1376152,876449,253588,35287
2002,1473889,949810,265585,36286
2003,1568558,1028244,271823,35677
2004,1689774,1125316,284936,36200
2005,1816246,1238226,297253,36228
2006,1972019,1372584,315581,37633
2007,2083179,1469434,322594,37394
2008,2231653,1577708,331403,38008
2009,2380614,1717131,347495,39577
2010,2437297,1773202,351897,40053
2011,2518633,1892737,342895,36002
2012,2621878,2009579,341379,34278
2013,2690653,2110077,333589,32131
2014,2659836,2142837,316169,29411
2015,2579875,2100814,279536,24009
